system:index,B_max,B_mean,B_p20,B_stdDev,Class,G_max,G_mean,G_p20,G_stdDev,NDVI_max,NDVI_mean,NDVI_p20,NDVI_stdDev,N_max,N_mean,N_p20,N_stdDev,R_max,R_mean,R_p20,R_stdDev,random,sum,.geo
0000000000000000001f,194.0,144.6,117.0,29.594595,0,179.0,126.6,98.0,29.943947,-0.25581396,-0.46096522,-0.6203947,0.17012402,82.0,45.2,25.0,21.479292,170.0,119.2,85.0,32.014996,0.8453808158867172,0.0,"{""type"":""Point"",""coordinates"":[-71.38790696952493,42.94757762750394]}"
00000000000000000020,202.0,191.2,179.0,10.146921,0,203.0,189.2,178.5,9.662298,-0.26490065,-0.39835757,-0.51307017,0.11864242,117.0,83.0,58.0,26.743223,204.0,186.0,177.5,10.29563,0.8358349630047072,0.0,"{""type"":""Point"",""coordinates"":[-71.37997422875085,42.94640934302793]}"
00000000000000000021,236.0,194.2,174.5,23.78571,0,242.0,198.2,176.0,24.45731,-0.11617312,-0.30339175,-0.42547312,0.13757434,194.0,111.2,70.0,46.897335,245.0,195.4,171.0,27.796402,0.9885547440659348,0.0,"{""type"":""Point"",""coordinates"":[-71.38282359432401,42.94502702170136]}"
00000000000000000022,137.0,129.8,122.5,7.6785417,0,139.0,114.4,104.5,12.846789,-0.1959799,-0.3827036,-0.5505515,0.16756721,80.0,47.8,29.5,19.009472,119.0,103.2,88.0,13.347659,0.8235812939234833,0.0,"{""type"":""Point"",""coordinates"":[-71.42464104400324,42.9360865240892]}"
00000000000000000023,215.0,175.6,133.0,37.481194,0,229.0,176.9,126.0,42.835617,-0.13483146,-0.30099192,-0.4792556,0.15281644,145.0,93.4,56.5,39.05176,225.0,168.1,111.0,48.011353,0.8405416975846564,0.0,"{""type"":""Point"",""coordinates"":[-71.44061354397667,42.95358849572398]}"
00000000000000000024,200.0,181.6,158.5,24.171057,0,211.0,183.2,156.0,28.909513,-0.20731707,-0.29837504,-0.37410164,0.07864934,130.0,95.2,70.5,22.639788,205.0,177.2,140.5,38.28002,0.7623916535623609,0.0,"{""type"":""Point"",""coordinates"":[-71.39650411635597,42.91448217948526]}"
00000000000000000025,162.0,142.0,122.5,20.12958,0,146.0,130.2,114.5,14.204225,-0.1724138,-0.4363695,-0.58976847,0.17159021,65.0,46.8,33.0,13.948477,140.0,120.2,101.0,19.05151,0.739695654575637,0.0,"{""type"":""Point"",""coordinates"":[-71.46177643757632,42.99514285844104]}"
00000000000000000026,205.0,182.6,167.0,16.230835,0,205.0,184.6,170.0,13.395521,-0.25,-0.30301058,-0.3587753,0.046429873,114.0,97.8,92.0,8.352245,201.0,183.0,167.5,13.371612,0.8248203274334882,0.0,"{""type"":""Point"",""coordinates"":[-71.44625430680927,42.97996407845511]}"
00000000000000000027,225.0,180.8,141.0,48.585594,0,230.0,182.2,140.5,49.68863,-0.10769231,-0.21081547,-0.2887128,0.071157165,133.0,111.8,88.0,27.498363,228.0,177.2,130.5,54.32274,0.7047631476789593,0.0,"{""type"":""Point"",""coordinates"":[-71.4585881803231,42.98726362687959]}"
00000000000000000028,187.0,171.0,157.5,12.049896,0,190.0,169.8,155.0,14.661514,-0.24904214,-0.33009753,-0.38527557,0.056198128,98.0,84.0,69.5,12.505999,192.0,166.6,148.0,20.185143,0.7161537398095983,0.0,"{""type"":""Point"",""coordinates"":[-71.45985456502228,42.98750887743755]}"
