geoid,total_pop,state,county,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,treecanopy,area,source,avg_temp,ua_name,incorpname,congressio,biome,bgpopdense,popadjust,tc_gap,tc_goal,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,priority,tes,tesctyscor
"330110103021",2291.000000000000000,NH,Hillsborough County,0.213880401571366,0.301178524661720,0.047292143401983,82656.000000000000000,0.520238885202389,0.222173723264950,0.120034919249236,-1.000000000000000,1.329590000000000,ED,86.297632666402080,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1723.087568348137438,1.200000000000000,0.048117239148911,-1.000000000000000,10.900000000000000,12.699999999999999,10.699999999999999,32.799999999999997,29.000000000000000,0.689007421150278,0.409664642958089,0.311963029910859,95.806813922709424,84.952881730008272
"330110103022",1991.000000000000000,NH,Hillsborough County,0.172378516624041,0.098442993470618,0.046554934823091,78438.000000000000000,0.729800173761946,0.134103465595178,0.287795077850326,-1.000000000000000,1.920792000000000,ED,89.362823794113055,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1036.551589136148095,1.200000000000000,0.215854272612547,-1.000000000000000,10.900000000000000,12.699999999999999,10.699999999999999,32.799999999999997,29.000000000000000,0.689007421150278,0.409664642958089,0.300546719830176,81.877715389827557,84.952881730008272
"330110104001",1101.000000000000000,NH,Hillsborough County,0.099000908265213,0.000000000000000,0.000000000000000,136339.000000000000000,0.844221105527638,0.345140781108083,0.112624886466848,-1.000000000000000,0.988516000000000,ED,82.382826931268085,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1113.790773239886903,1.200000000000000,0.047914935114859,-1.000000000000000,11.100000000000000,13.400000000000000,10.800000000000001,32.200000000000003,28.699999999999999,0.656076066790353,0.431207655664578,0.177967806722613,97.617940214094716,84.952881730008272
"330110104002",777.000000000000000,NH,Hillsborough County,0.061679790026247,0.158301158301158,0.041036717062635,70606.000000000000000,0.711453744493392,0.142857142857143,0.272844272844273,-1.000000000000000,0.485697000000000,ED,88.777351182616599,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1599.762815088419302,1.200000000000000,0.205040508794578,-1.000000000000000,11.100000000000000,13.400000000000000,10.800000000000001,32.200000000000003,28.699999999999999,0.656076066790353,0.431207655664578,0.280686969608112,83.923103073375444,84.952881730008272
"330110104003",882.000000000000000,NH,Hillsborough County,0.084101382488479,0.030612244897959,0.088311688311688,83155.000000000000000,1.140776699029126,0.319727891156463,0.213151927437642,-1.000000000000000,0.412012000000000,ED,85.792227418562845,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,2140.714348125782180,1.000000000000000,0.000000000000000,-1.000000000000000,11.100000000000000,13.400000000000000,10.800000000000001,32.200000000000003,28.699999999999999,0.656076066790353,0.431207655664578,0.314218532300838,100.000000000000000,84.952881730008272
"330110104004",1526.000000000000000,NH,Hillsborough County,0.504587155963303,0.349934469200524,0.187793427230047,37778.000000000000000,0.382246376811594,0.256225425950197,0.020314547837484,-1.000000000000000,1.169706000000000,ED,84.234267285861705,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1304.601327171101275,1.200000000000000,0.015243043978572,-1.000000000000000,11.100000000000000,13.400000000000000,10.800000000000001,32.200000000000003,28.699999999999999,0.656076066790353,0.431207655664578,0.488691798939308,97.919119893382273,84.952881730008272
"330110104005",947.000000000000000,NH,Hillsborough County,0.186774941995360,0.093980992608237,0.047077922077922,57583.000000000000000,0.575707154742097,0.191129883843717,0.174234424498416,-1.000000000000000,0.836010000000000,ED,88.400465825706988,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,1132.761569837681236,1.200000000000000,0.142068635542637,-1.000000000000000,11.100000000000000,13.400000000000000,10.800000000000001,32.200000000000003,28.699999999999999,0.656076066790353,0.431207655664578,0.285151102681790,88.683462430802905,84.952881730008272
"330110105001",434.000000000000000,NH,Hillsborough County,0.523041474654378,0.228110599078341,0.000000000000000,36389.000000000000000,0.613382899628253,0.179723502304147,0.200460829493087,-1.000000000000000,0.120990000000000,ED,92.254063018242121,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,3587.073311843953888,1.000000000000000,0.218935449210679,-1.000000000000000,14.199999999999999,18.600000000000001,12.400000000000000,25.500000000000000,22.899999999999999,0.205009276437848,0.640762107717189,0.420005701383182,74.313106968869391,84.952881730008272
"330110105002",859.000000000000000,NH,Hillsborough County,0.429569266589057,0.436554132712456,0.053608247422680,44013.000000000000000,0.325617283950617,0.220023282887078,0.025611175785797,-1.000000000000000,0.141197000000000,ED,90.879746835443044,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,6083.698662152880388,0.800000000000000,0.099421659100406,-1.000000000000000,14.199999999999999,18.600000000000001,12.400000000000000,25.500000000000000,22.899999999999999,0.205009276437848,0.640762107717189,0.455174424012511,87.358483895579951,84.952881730008272
"330110105003",573.000000000000000,NH,Hillsborough County,0.520069808027923,0.361256544502618,0.176829268292683,44333.000000000000000,0.188796680497925,0.090750436300175,0.068062827225131,-1.000000000000000,0.174189000000000,ED,92.765185917298837,"Nashua, NH--MA",Nashua,NH Congressional District 2,Forest,3289.530337736596266,1.000000000000000,0.231590973023555,-1.000000000000000,14.199999999999999,18.600000000000001,12.400000000000000,25.500000000000000,22.899999999999999,0.205009276437848,0.640762107717189,0.571456662399365,63.030359063772501,84.952881730008272
